Title,Source/Institution,"Type, Tags",Link,Notes,"Date",,,,search terms
The Australian and New Zealand Intensive Care Society (ANZICS) COVID-19 Guidelines,"The Australian and New Zealand Intensive
Care Society (ANZICS)","PPE, Screening, Management",https://www.health.nsw.gov.au/Infectious/diseases/Documents/anzics-covid-19-guidelines.pdf,,,,,,
Strategies for Optimizing the Supply of N95 Respirators,US Centers for Disease Control (CD),PPE,https://www.cdc.gov/coronavirus/2019-ncov/hcp/respirators-strategy/index.html,,2/29/20,,,,
Brigham and Women's Hospital Covid-19 Critical Care Guidelines,Brigham and Women's Hospital,Management,covidprotocols.org,,,,,,
Brigham and Women's Hospital Covid-19 One page Guides,Brigham and Women's Hospital,"Screening, Management",Will link when stable links,,,,,,
UV Covid-19 Resource site,University of Washington Medicine,General Guideline,https://covid-19.uwmedicine.org/Pages/default.aspx,,,,,,
Testing Criteria,University of Washington Medicine,Screening,https://covid-19.uwmedicine.org/Screening%20and%20Testing%20Algorithms/01%20-%20Testing%20Criteria.pdf,,,,,,
Immunosuppressed Patient SARS-CoV-2 (COVID-19) and Respiratory Viral Testing Guidelines,University of Washington Medicine,Screening,https://covid-19.uwmedicine.org/Screening%20and%20Testing%20Algorithms/04%20-%20Immunocompromised%20Patients%20-%20Protocol.pdf,,,,,,
UW Medicine Interim Treatment Guidelines for SARS-CoV-2 Infection/COVID-19,University of Washington Medicine,Management,https://covid-19.uwmedicine.org/Screening%20and%20Testing%20Algorithms/08%20-%20UW%20ID%20Treatment%20Guidelines%20for%20SARS-CoV-2.pdf,,,,,,
"Policies, Procedures, and Guidelines for Anesthesia and Airway management of patients with suspected or confirmed COVID-19 infection – Version 2 (3/15/20)",University of Washington Medicine,Airway Management,https://covid-19.uwmedicine.org/Screening%20and%20Testing%20Algorithms/10%20-%20Anesthetic%20and%20Airway%20Care%20of%20COVID-19%20patients%2003_18_2020.pdf,,,,,,
Delivery Logistics and Infant Care Covid-19 in NICU 3/19/2020,University of Washington Medicine,PPE,https://covid-19.uwmedicine.org/Screening%20and%20Testing%20Algorithms/Delivery%20Logistics%20Infant%20of%20a%20COVID%20Mother%20Who%20Admitted%20to%20NICU%202020-03-19.pdf,,,,,,
Personal Protective Equipment (PPE) Conservation Policy— General and for Medical Providers/Trainees/Students,University of Washington Medicine,PPE,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/PPE%20conservation%20policy-UWM%203.12.20.pdf,,,,,,
Guidance for Limited Reuse of N95 Respirators and PAPR hoods,University of Washington Medicine,PPE,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/PPE%20conservation%20policy-UWM%203.12.20.pdf,,,,,,
Emergency Department COVID-19 Airway Policies,University of Washington Medicine,"PPE, Management",https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/COVID-19%20ED%20Respiratory%20Combined%20Plan_Controlled%20and%20Emergent%20Intubation.pdf,,,,,,
UW COVID-19 Drive Thru Clinic AKA “The CARVID Clinic”,University of Washington Medicine,Screening,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/Drive-through%20COVID19%20Testing%20Clinic%20setup%20UW%20Medicine.pdf,,,,,,
Discontinuation of precautions for hospitalized patients with previous diagnosis of COVID-19,University of Washington Medicine,PPE,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/Isolation%20precautions%20Discontinuation_COVID19.pdf,,,,,,
COVID19 Response: ED & Inpatient Palliative Care Delivery Pathways,University of Washington Medicine,Management,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/Palliative%20Care%20Response%20Plan.pdf,,,,,,
Pharmacologic Adjuncts for Critical Illness in Suspected COVID-19,University of Washington Medicine,Management,https://covid-19.uwmedicine.org/Covid19%20Policy%20Statements/Pharmacologic%20Adjuncts%20for%20Critical%20Illness%20in%20Suspected%20COVID-19%20031220.pdf,,,,,,
Recommendations for Airway Management in a Patient with Suspected Coronavirus (2019-nCoV) Infection,University of Washington Medicine,"PPE, Airway management",https://www.apsf.org/wp-content/uploads/news-updates/2020/apsf-coronavirus-airway-management-infographic.pdf,,,,,,
Mount Sinai Health System Treatment Guidelines for SARS-CoV-2 Infection (COVID-19),Mount Sinai Health System ,Management,https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/MountSinaiHealthSystem-TreatmentGuidelines-COVID-3-17.pdf,,,,,,
MSHS COVID-19 Personal Protective Equipment (PPE) Practices,Mount Sinai Health System ,PPE,https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/MSHS-COVID-19-PPE-Practices.pdf,,,,,,
Guidelines for Respiratory Management of PUI/ COVID+ pediatric patients,Mount Sinai Health System ,Management -Peds,https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/Guidelines-for-Respiratory-Management-of-Covid+Pediatric-Patients.pdf,,,,,,
Management of infants born to febrile mothers,Mount Sinai Health System ,"Management -Peds, OB",https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/Infants-born-to-Febrile-Mothers-guidelines.pdf,,,,,,
Management of well infants born to mothers with suspected or known COVID‐19,Mount Sinai Health System ,"Management -Peds, OB",https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/Management-of-well-infants-born-to-mothers-with-suspected-or-known-COVID.pdf,,,,,,
Process for the Limited Reuse and Extended Use of N95 respirators and Fluid-Resistant Face Shields,Mount Sinai Health System ,PPE,https://www.mountsinai.org/files/MSHealth/Assets/HS/About/Coronavirus/Process-for-the-Limited-Reuse-and-Extended-Use-of-N95s-and-Face-Shields-v2.pdf,,,,,,
Infection prevention and control for the care of patients with 2019-nCoV in healthcare settings,European Centre for Disease Prevention and Control,Infection Control,https://www.ecdc.europa.eu/sites/default/files/documents/nove-coronavirus-infection-prevention-control-patients-healthcare-settings.pdf,,February 2020,,,,
Algorithm for the management of contacts of probable or confirmed COVID-19 cases,European Centre for Disease Prevention and Control,"Infection Control, Screening",https://www.ecdc.europa.eu/en/publications-data/algorithm-management-contacts-probable-or-confirmed-covid-19-cases,,February 2020,,,,
Personal protective equipment (PPE) needs in healthcare settings for the care of patients with suspected or confirmed novel coronavirus (2019-nCoV),European Centre for Disease Prevention and Control,PPE,https://www.ecdc.europa.eu/sites/default/files/documents/novel-coronavirus-personal-protective-equipment-needs-healthcare-settings.pdf,,February 2020,,,,
Guidance for health system contingency planning during widespread transmission of SARS-CoV-2 with high impact on healthcare services,European Centre for Disease Prevention and Control,Infection Control,https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-guidance-health-systems-contingency-planning.pdf,,,,,,
Guidelines for the use of non-pharmaceutical measures to delay and mitigate the impact of 2019-nCoV,European Centre for Disease Prevention and Control,Infection Control,https://www.ecdc.europa.eu/sites/default/files/documents/novel-coronavirus-guidelines-non-pharmaceutical-measures_0.pdf,,,,,,
COVID-19: investigation and initial clinical management of possible cases,Public Health England,Screening,https://www.gov.uk/government/publications/wuhan-novel-coronavirus-initial-investigation-of-possible-cases/investigation-and-initial-clinical-management-of-possible-cases-of-wuhan-novel-coronavirus-wn-cov-infection,,3/21/20,,,,
Management of a suspected case of COVID-19,Public Health England,Screening,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/873496/COVID-19_flow_chart.pdf,,3/18/20,,,,
COVID-19: infection prevention and control,Public Health England,PPE,https://www.gov.uk/government/publications/wuhan-novel-coronavirus-infection-prevention-and-control,,3/21/20,,,,
Treatment Algorithm for SARS-CoV-2 (updated 3-19-20),University of Colorado/UCHealth,Management,https://docs.google.com/viewerng/viewer?url=https://s3.amazonaws.com/uchealth-wp-uploads/wp-content/uploads/sites/6/2020/03/21140202/SARSCoV-2-Management-Algorithm_3-19.pdf,,,,,,
Not publicly accessible ,UCLA,,,,,,,,
Not publicly accessible ,Univ Utah,,,,,,,,
A few CME modules availalble; unsure if these form this institution's guideline,Baylor College of Medicine,,https://coronavirus.baylorcme.org/,,,,,,
COVID-19 Clinical Guidance For the Cardiovascular Care Team,American College of Cardiology,General Guideline,https://www.acc.org//~/media/Non-Clinical/Files-PDFs-Excel-MS-Word-etc/2020/02/S20028-ACC-Clinical-Bulletin-Coronavirus.pdf,,,,,,
Not publicly accessible ,Stanford Medicine,,,,,,,,
N95 Filtering Facemask Respirator Ultraviolet Germicidal Irradiation (UVGI) Process for Decontamination and Reuse,Nebraska Med,PPE,https://www.nebraskamed.com/sites/default/files/documents/covid-19/n-95-decon-process.pdf,,,,,,
Personal Protective Equipment For2019 Novel Coronavirus (2019-nCoV),Nebraska Med,PPE,https://www.nebraskamed.com/sites/default/files/documents/covid-19/PPE_infographic.pdf,,March 2020,,,,
Healthcare Worker Attire and COVID-19 Care,Nebraska Med,PPE,https://www.nebraskamed.com/sites/default/files/documents/covid-19/clothing-and-attire-caring-for-covid-19.pdf,,,,,,
"Extended Use and Limited Reuse of Disposable Facemasks, Respirators and Protective Eyewear",Nebraska Med,PPE,https://www.nebraskamed.com/sites/default/files/documents/covid-19/COVID-Extended-Use-Reuse-of-PPE-and-N95.pdf?date03212020,,,,,,
COVID-19 and Pregnant Healthcare Workers,Nebraska Med,PPE,https://www.nebraskamed.com/sites/default/files/documents/covid-19/pregnancy-and-caring-for-covid-19-patients.pdf,,3/20/20,,,,
ED CORONAVIRUS (COVID-19) SCREENING PROTOCOL,Nebraska Med,Screening,https://www.nebraskamed.com/sites/default/files/documents/covid-19/ED-screening-protocol.pdf?date=03192020,,3/18/20,,,,
COVID-19 DOOR-TO-DISCHARGE INSTRUCTIONS,Nebraska Med,General Guideline,https://www.nebraskamed.com/for-providers/covid19/door-to-discharge-instructions,,,,,,
COVID-19 Antiviral and Pharmacotherapy Recommendations,Nebraska Med,Management,https://www.nebraskamed.com/sites/default/files/documents/covid-19/covid19-antiviral-pharmacotherapy-recommendations.pdf,,3/17/20,,,,
Airway management,Nebraska Med,Management,https://www.nebraskamed.com/sites/default/files/documents/covid-19/airway-or-management-in-patient-with-confirmed-or-suspected-covid19.pdf,,,,,,
Guidance for Transporting Patients with or under investigation for COVID-19,Nebraska Med,Management,https://www.nebraskamed.com/sites/default/files/documents/covid-19/covid19-patient-transport.pdf,,,,,,
Not publicly accessible ,UC Irvine Health,,,,,,,,
Not publicly accessible ,Yale New Haven Health,,,,,,,,
2019 Novel Coronavirus Toolkit,Massachusetts General Hospital,"Infection Control, Screening, PPE",https://www.massgeneral.org/assets/MGH/pdf/disaster-medicine/2019-Novel-Coronavirus-(2019-nCoV)-Toolkit-version-1.29.2020.pdf,,1/29/20,,,,
UKID COVID-19 Team Inpatient Assessment Algorithm,University of Kentucky,Screening,https://internalmedicine.med.uky.edu/sites/default/files/3.19.2020%20UKID%20COVID-19%20Team%20Inpatient%20Algorithm.pdf,,3/18/20,,,,
Inpatient COVID- 19 Recommendation for PPE,University of Kentucky,PPE,https://internalmedicine.med.uky.edu/sites/default/files/UKHC%20COVID-19-Inpatient-Recommendations-for-PPE.pdf,,3/16/20,,,,
UKID Pharmacotherapy Guidance for Adult (≥18 Years Old) Patients Positive for COVID-19,University of Kentucky,Management,https://internalmedicine.med.uky.edu/sites/default/files/UKID-Pharmacotherapy-Guidance-for-Adults-with-COVID-19.pdf,,,,,,
UK ID COVID-19 Team Testing Algorithm,University of Kentucky,Screening,https://internalmedicine.med.uky.edu/sites/default/files/3.12.2020%20UKID%20COVID-19%20Testing%20Criteria_0.pdf,,3/12/20,,,,
COVID-19 Prioritization of Diagnostic Testing,Infectious Disease Association of America,Screening/Testing,https://www.idsociety.org/globalassets/idsa/public-health/covid-19-prioritization-of-dx-testing.pdf,,,,,,
Interim U.S. Guidance for Risk Assessment and Public Health Management of Healthcare Personnel with Potential Exposure in a Healthcare Setting to Patients with Coronavirus Disease (COVID-19),US Centers for Disease Control (CDC),Continue to work/return to work,https://www.cdc.gov/coronavirus/2019-ncov/hcp/guidance-risk-assesment-hcp.html,,3/7/20,,,,
Covid-19 Information for Surgeons: Guidance for Triage of Non-Emergent Surgical Procedures; Recommendations for Management of Elective Surgical Procedures,American College of Surgeons,General Guideline,https://www.facs.org/about-acs/covid-19/information-for-surgeons?fbclid=IwAR2tXmimT1hVGPFQylRzoJXXNHhZNIHSv20dLRphBG3CeYHHkEKM2XinWbw,,,,,,
Outpatient Assessment and Management for Pregnant Women With Suspected or Confirmed Novel Coronavirus (COVID-19),American College of Obstetricians and Gynecologists,Screening,https://www.acog.org/-/media/project/acog/acogorg/files/pdfs/clinical-guidance/practice-advisory/covid-19-algorithm.pdf?la=en&hash=2D9E7F62C97F8231561616FFDCA3B1A6,,,,,,
COVID-19 clinical insights for our community of gastroenterologists and gastroenterology care providers,American Gastroenterological Association,General Guideline,https://www.gastro.org/press-release/joint-gi-society-message-covid-19-clinical-insights-for-our-community-of-gastroenterologists-and-gastroenterology-care-providers?fbclid=IwAR3Epl9yRr7zFZROksPLksPwOIXCBatFWGzkrFpT5boQf4bPmKxkIGhGcwI,,,,,,
,University of Pennsylvania Health System,Management,http://www.uphs.upenn.edu/antibiotics/COVID19.html,,,,,,
Joint Statement on Multiple Patients Per Ventilator,Society for Critical Care Medicine; American College of Chest Physicians; Anesthesia Patient Safety Foundation; American Society of Anesthesiologists; American Association of Critical Care Nurses; American Association for Respiratory Care,"Management, general guideline, position statement",https://www.asahq.org/about-asa/newsroom/news-releases/2020/03/joint-statement-on-multiple-patients-per-ventilator,,,,,,
Management of Critically Ill Adults with COVID-19,,"Infection Control, Screening, PPE",,,,,,,
Pulmonary Function Laboratories: Advice Regarding COVID-19,American Thoracic Society,Position Statement,https://www.thoracic.org/professionals/clinical-resources/disease-related-resources/pulmonary-function-laboratories.php,,,,,,
COVID CPR Guidance Document,University of Pennsylvania Health System; University of Pittsburgh,"Management, CPR, Use of Scarce Resources",document to upload,Created by Scott Halpern (UPenn) and Douglas White (Pitt),3/22/20,,,,
Allocation of Scarce Critical Care Resources During a Public Health Emergency,University of Pennsylvania Health System; University of Pittsburgh,"Management, Use of Scarce Resources",document to upload,Created by Scott Halpern (UPenn) and Douglas White (Pitt),3/22/20,,,,
NYP Laboratory COVID-19 (SARS-CoV-2) Testing,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Screening, Testing",https://www.cuimc.columbia.edu/file/44520/download?token=crwrSF29,,3/23/20,,,,
COVID-19 Ambulatory Testing and Management Guidelines,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Ambulatory Testing, Ambulatory Management",https://www.cuimc.columbia.edu/file/44528/download?token=NWGwisI1,,3/18/20,,,,
Revised Recommendations for Patient Placement and Use of Personal Protective Equipment (PPE) For Patients with Confirmed or Suspected COVID-19,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,PPE,https://www.cuimc.columbia.edu/file/44516/download?token=vDg7oxF3,,3/12/20,,,,
Recommendations for Conservation of N95 Respirators,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"PPE, Use of Scarce Resources",https://www.cuimc.columbia.edu/file/44638/download?token=KKYOJabi,,3/24/20,,,,
"Interim Guidelines for Suspect and Confirmed COVID-19 for Obstetrics (Antepartum, Labor & Delivery, Post-partum, and Ambulatory Care), Neonatal ICUs, and Well-Baby Nurseries",Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"OB Screening, OB testing, OB PPE",https://www.cuimc.columbia.edu/file/44636/download?token=vUL_mE7R,,3/25/20,,,,
NYP Guidelines for Airway Management of Suspected or Confirmed COVID-19 Patients,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,Airway Management,https://www.cuimc.columbia.edu/file/44538/download?token=luHx0iV_,,3/23/20,,,,
Recommendations for Airway Management in a Patient with Suspected Coronavirus (2019-nCoV) Infection,Anesthesia Patient Safety Foundation,Airway Management,https://www.apsf.org/wp-content/uploads/news-updates/2020/apsf-coronavirus-airway-management-infographic.pdf,,,,,,
"Suspected or Confirmed COVID-19 Exposure and Quarantine FAQs March 14, 2020",Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Screening, Return to Work",https://www.cuimc.columbia.edu/file/44537/download?token=UHZCnCaI,,,,,,
"NYP Guidelines for Respiratory Support of Suspected or Confirmed COVID-19 Patient: Non-invasive Ventilation, High Flow Nasal Cannula Oxygen, Invasive Ventilation and Patients with Tracheostomies",Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,Management,https://www.cuimc.columbia.edu/file/44614/download?token=wYc04gZ9,,3/22/20,,,,
"NYP Process for Using Intubation Bags for Suspected or Confirmed COVID-19 Patients (As of March 21, 2020)",Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Airway Management, PPE",https://www.cuimc.columbia.edu/file/44615/download?token=bHCFprQr,,,,,,
Interim Guidance for Transport of COVID-19-positive or COVID-19-suspected Patients between Units or to Necessary Procedures1,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Management, patient transport",https://www.cuimc.columbia.edu/file/44637/download?token=ITInY1xE,,3/22/20,,,,
Discharge Instructions – Patients with Confirmed or Suspected COVID-19,Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Management, Infection Control, Discharge",https://www.cuimc.columbia.edu/file/44634/download?token=3KC-zie9,,3/20/20,,,,
CAREGIVER INSTRUCTIONS – RESPIRATORY ILLNESS (For suspected or confirmed COVID-19 ADULT patients),Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Management, Infection Control, Discharge",https://www.cuimc.columbia.edu/file/44633/download?token=hp8sCosc,,,,,,
"Healthcare Personnel (HCP) with COVID-19 Exposures or COVID-19-–Like Illness Updated March 18, 2020",Weill-Cornell Medicine; New York Presbyterian; Columbia Medicine,"Infection Control, Screening, healthcare workers, Return to Work",https://www.cuimc.columbia.edu/file/44613/download?token=mKPHQAOm,,3/18/20,,,,
Interim US Guidance for Risk Assessment and Public Health Management of Persons with Potential Coronavirus Disease 2019 (COVID-19) Exposures: Geographic Risk and Contacts of Laboratory-confirmed Cases,US Centers for Disease Control (CDC),"Infection Control, Screening, ",https://www.cdc.gov/coronavirus/2019-ncov/php/risk-assessment.html,,,,,,
"Clinical and Public Health Guidance for Managing COVID-19 Interim Guidance (subject to change); March 18, 2020",Illinois Department of Public Health,"Infection Control, Screening, PPE",http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus/health-care-providers,,3/18/20,,,,
Checklist to Prepare Physician Offices for COVID-19,American Academy of Family Physicians,"Infection Control, Screening, PPE, healthcare workers, ambulatory",https://www.aafp.org/dam/AAFP/documents/patient_care/public_health/COVID-19%20Office%20Prep%20Checklist.pdf,,,,,,
2019 Novel Coronavirus (COVID-19) Interim Guidance for Home and Community Healthcare Workers,NYC Health,"Infection Control, PPE, healthcare workers",https://www1.nyc.gov/assets/doh/downloads/pdf/imm/covid-19-home-community-healthcare-workers.pdf,,,,,,
Return-to-Facility & Home Discharge Rules for patients in the Emergency Department who are suspected to have COVID-19,Los Angeles County Department of Public Health,"Infection Control, ambulatory, discharge",http://publichealth.lacounty.gov/acd/docs/COVReturnRulesED.pdf,,,,,,
Interfacility Transfer and Home Discharge Rulesfor Patients with Laboratory Confirmed COVID-19,Los Angeles County Department of Public Health,"Infection Control, discharge",http://publichealth.lacounty.gov/acd/docs/InterfacilityTransferRules.pdf,,,,,,
Evaluating Patients Who May Have COVID-19,Los Angeles County Department of Public Health,Screening,http://publichealth.lacounty.gov/acd/ncorona2019/checklist.htm,,3/24/20,,,,
Home Isolation Instructions for People with Coronavirus-2019 (COVID-19) Infection,Los Angeles County Department of Public Health,"Discharge, ambulatory, infection control",http://publichealth.lacounty.gov/acd/docs/HomeisolationenCoV.pdf,"Available in English, Spanish, Arabic, Farsi",3/22/20,,,,
What to do if you have confirmed COVID-19 disease,Santa Clara County Public Health,"Discharge, ambulatory, infection control",https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Confirmed-Case-Information-Sheet-20200316.pdf,,3/19/20,,,,
Clinical Presentation and Management of COVID-19,Santa Clara County Public Health,"Screening, Management, General Guideline",https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Clinical-Management-Handout-20200318.pdf,,3/19/20,,,,
Interim Guidance for Isolation Period of Persons who Test Positive for COVID-19,Santa Clara County Public Health,"Discharge, Isolation",https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Isolation-Period-COVID-Case.pdf,,,,,,
Healthcare Personnel COVID-19 SCREENING ALGORITHM,Santa Clara County Public Health,"Screening, healthcare workers",https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/HCP-Screening-Algorithm-20200321.pdf,,,,,,
